iter	Logloss
0	0.6895515079
1	0.686369905
2	0.6813731602
3	0.6742079235
4	0.6682230632
5	0.6611675444
6	0.6554232643
7	0.652419608
8	0.6501291911
9	0.6450495402
10	0.6433545794
11	0.6381955828
12	0.6343834287
13	0.6314023699
14	0.6272506714
15	0.6227682204
16	0.6174272083
17	0.6136897496
18	0.6094266982
19	0.6007644653
20	0.5983724685
21	0.595909046
22	0.593934486
23	0.5887293498
24	0.5859509786
25	0.5826930818
26	0.580796923
27	0.5779686337
28	0.5743794759
29	0.571984609
30	0.5694073268
31	0.5673775446
32	0.5645330157
33	0.5621321542
34	0.557761492
35	0.5556266421
36	0.5524975731
37	0.5498456682
38	0.5473055522
39	0.5455607096
40	0.5426903861
41	0.5404733204
42	0.5369514465
43	0.5339196341
44	0.5319569906
45	0.5279980977
46	0.5238354638
47	0.5215018863
48	0.5196847462
49	0.5168321882
50	0.5157636007
51	0.5138874599
52	0.5101462228
53	0.5087245396
54	0.5074250357
55	0.5060676211
56	0.504486084
57	0.5025460016
58	0.4998295375
59	0.4975194295
60	0.494921875
61	0.4922465733
62	0.4895957583
63	0.4883053008
64	0.4854604812
65	0.4825120472
66	0.4796873183
67	0.4783440363
68	0.4758936564
69	0.4742256528
70	0.4721698216
71	0.4704522996
72	0.4679612296
73	0.4650599525
74	0.4640270415
75	0.4614802769
76	0.4588982718
77	0.4568016416
78	0.4553066435
79	0.4530234201
80	0.4508201962
81	0.4498622349
82	0.4477381388
83	0.4460574195
84	0.4439862206
85	0.4409987677
86	0.4395688012
87	0.4386300587
88	0.4367441813
89	0.4349416097
90	0.4335575649
91	0.4315220787
92	0.4295730954
93	0.4277913411
94	0.4268699646
95	0.4250957671
96	0.4228012448
97	0.4212288266
98	0.4196551368
99	0.4180126735
100	0.4172139486
101	0.415275937
102	0.4134482247
103	0.4118605114
104	0.4102390834
105	0.4086155483
106	0.4068605695
107	0.4039496649
108	0.4027748471
109	0.4014461336
110	0.3989602225
111	0.3976687113
112	0.3958457583
113	0.3931371416
114	0.391843705
115	0.3899508158
116	0.3872282482
117	0.3855543591
118	0.3835761297
119	0.3818935576
120	0.3806787763
121	0.3780756632
122	0.3763469878
123	0.3754672822
124	0.3735502697
125	0.3707987467
126	0.3691044399
127	0.3677572341
128	0.3654931205
129	0.3633742196
130	0.3624001639
131	0.3605013893
132	0.3585243952
133	0.3570206415
134	0.3552039373
135	0.3528045654
136	0.3510965983
137	0.3498674302
138	0.3475654965
139	0.3458119347
140	0.3433501471
141	0.3411911737
142	0.3407337007
143	0.3388528006
144	0.3369400388
145	0.3348007202
146	0.3342718215
147	0.3325871059
148	0.3310686021
149	0.3283996582
150	0.326890346
151	0.3261078971
152	0.3251817976
153	0.3226303827
154	0.3201652527
155	0.3173063006
156	0.3166531517
157	0.3155986241
158	0.3140959967
159	0.3116209484
160	0.3105562846
161	0.3091785249
162	0.3071958996
163	0.3062818618
164	0.3046022688
165	0.3017926171
166	0.2989992596
167	0.2979419163
168	0.2969452086
169	0.2950202579
170	0.2927576701
171	0.2914842333
172	0.2897985186
173	0.289151219
174	0.2872364952
175	0.2855479286
176	0.2841474261
177	0.2821768624
178	0.2811614082
179	0.2794184549
180	0.2778907413
181	0.2768583752
182	0.2759517488
183	0.2746234712
184	0.2736304329
185	0.2713999067
186	0.2704388936
187	0.268830363
188	0.2673499334
189	0.2652772631
190	0.2638318743
191	0.2624049595
192	0.259871165
193	0.2581855047
194	0.2568256741
195	0.2549261547
196	0.2530248369
197	0.2510313125
198	0.249685342
199	0.248563712
